Tweet,Geolocation,Cleaned_Tweet
"తెలంగాణ బీజేపీ శాసనసభ్యులతో, ఎంపీలతో చాలా మంచి సమావేశం జరిగింది.

రాష్ట్రంలో మా పార్టీ ఉనికి వేగంగా విస్తరిస్తోంది. తెలంగాణ ప్రజలు ఇప్పటికే కాంగ్రెస్‌తో విసిగిపోయారు అంతేకాక బీఆర్‌ఎస్ దుష్టపాలన వల్ల కలిగిన భయంకరమైన జ్ఞాపకాలతో ఉన్నారు. ఎంతో ఆశతో బీజేపీ వైపు చూస్తున్నారు.","11.059821, 78.387451",", . . . ."
You are so much more than the media now,"11.059821, 78.387451",you are so much more than the media now
"Indian culture resonates globally! 

Wherever I go, I see immense enthusiasm towards our history and culture, which is extremely gladdening. Here is a glimpse…","11.059821, 78.387451","indian culture resonates globally! wherever i go, i see immense enthusiasm towards our history and culture, which is extremely gladdening. here is a glimpse"
 Happy Thanksgiving! ,"11.059821, 78.387451",happy thanksgiving!
"37-year-old Lionel Messi is still being nominated for The Best FIFA Men's Player in 2024.

We're not worthy ","11.059821, 78.387451",37yearold lionel messi is still being nominated for the best fifa mens player in 2024. were not worthy
"The Indian Cricket Team were hosted by the Honourable Anthony Albanese MP, Prime Minister of Australia at the Parliament House, Canberra. 

#TeamIndia will take part in a two-day pink ball match against PM XI starting Saturday.","11.059821, 78.387451","the indian cricket team were hosted by the honourable anthony albanese mp, prime minister of australia at the parliament house, canberra. will take part in a twoday pink ball match against pm xi starting saturday."
"BIG BREAKING NEWS  PM Modi held high level meeting on Bangladesh crisis 

Major Action likely !! PM Modi held talks with EAM S Jaishankar.

Indian Govt will also address Parliament regarding atrocities against Bangladeshi Hindus.

PM Modi is reportedly upset. Modi Govt","11.059821, 78.387451",big breaking news pm modi held high level meeting on bangladesh crisis major action likely !! pm modi held talks with eam s jaishankar. indian govt will also address parliament regarding atrocities against bangladeshi hindus. pm modi is reportedly upset. modi govt
𝐍𝐎 𝐋𝐎𝐎𝐊 ,"11.059821, 78.387451",
"""Just as a strong wind sweeps a boat off its chartered course on the water, even one of the senses on which the mind focuses can lead the intellect astray.""

BG 2.67 ","11.059821, 78.387451","just as a strong wind sweeps a boat off its chartered course on the water, even one of the senses on which the mind focuses can lead the intellect astray. bg 2.67"
Van Dijk: “When I felt bored in the game I passed the ball to Mbappe and then took it back.”,"11.059821, 78.387451",van dijk when i felt bored in the game i passed the ball to mbappe and then took it back.
"Bro has us scoring in the first minute of every game.

He’s insane","11.059821, 78.387451",bro has us scoring in the first minute of every game. hes insane
"Hello Chief! As we know, this update has come with some bugs, including 2 major ones. One of them was causing War attacks to disconnect which caused a huge inconvenience to you and your Clan. As a way to apologise, we'd like to share with you a small token of appreciation, which","11.059821, 78.387451","hello chief! as we know, this update has come with some bugs, including 2 major ones. one of them was causing war attacks to disconnect which caused a huge inconvenience to you and your clan. as a way to apologise, wed like to share with you a small token of appreciation, which"
"What do you have to do to get a 10 

Have yourself an evening, Charles De Ketelaere.","11.059821, 78.387451","what do you have to do to get a 10 have yourself an evening, charles de ketelaere."
 Who’s been your Man of the Match? ,"11.059821, 78.387451",whos been your man of the match?
Bro Gave STF move on Faf du plessis,"11.059821, 78.387451",bro gave stf move on faf du plessis
